ID,nr,date,persTag,sex,fn_role
1,7,1395-12-04,pe__stephan_frauendorfer_StB_I_7,m,weisend
2,7,1395-12-04,pe__pilgrim_snaeczel_StB_I_7,m,witness
3,7,1395-12-04,pe__erasmus_mallczer_StB_I_7,m,witness
4,7,1395-12-04,pe__kaspar_frauendorffer_StB_I_7,m,gewiesen
5,7,1395-12-04,pe__wolfgang_frauendorffer_StB_I_7,m,gewiesen
6,7,1395-12-04,pe__esther_frauendorfferin_StB_I_7,f,gewiesen
7,7,1395-12-04,pe__martha_frauendorfferin_StB_I_7,f,gewiesen
8,7,1395-12-04,pe__jakob_chetner_StB_I_7,m,gewiesen
9,7,1395-12-04,pe__konrad_chetner_StB_I_7,m,gewiesen/other
10,23,1396-01-15,pe__niklas_unger_StB_I_23,m,witness
11,23,1396-01-15,pe__johann_handschuster_StB_I_23,m,witness
12,23,1396-01-15,pe__michael_ungerl_StB_I_23,m,gewiesen
13,23,1396-01-15,pe__elisabeth_ungerlin_StB_I_23,f,gewiesen
14,23,1396-01-15,pe__katharina_ungerlin_StB_I_23,f,gewiesen
15,23,1396-01-15,pe__johann_ungerl_StB_I_23,m,gewiesen
16,23,1396-01-15,pe__anna_ungerlin_StB_I_23,f,gewiesen
17,23,1396-01-15,pe__margarethe_hantschusterin_StB_I_23,f,gewiesen
18,23,1396-01-15,pe__konrad_handschuster_StB_I_23,m,gewiesen/other
19,24,1396-01-18,pe__ulrich_graefenauer_StB_I_24,m,weisend
20,24,1396-01-18,pe__paul_von_chruegsperg_StB_I_24,m,weisend/rep
21,24,1396-01-18,pe__anna_von_oed_StB_I_24,f,weisend/rep
22,24,1396-01-18,pe__welndelmut_grefenawerin_StB_I_24,f,weisend/rep
23,24,1396-01-18,pe__ortolf_graefenauer_StB_I_24,m,witness
24,24,1396-01-18,pe__niklas_geisliczer_StB_I_24,m,witness
25,24,1396-01-18,pe__elisabeth_grefenawerin_StB_I_24,f,gewiesen
26,24,1396-01-18,pe__heinrich_von_chruegsperg_StB_I_24,m,gewiesen
27,24,1396-01-18,pe__andreas_von_od_StB_I_24,m,gewiesen
28,24,1396-01-18,pe__wolfhard_graefenauer_StB_I_24,m,gewiesen
29,24,1396-01-18,pe__andreas_graefenauer_StB_I_24,m,gewiesen
30,32,1396-01-20,pe__kunigunde_zuzzermanin_StB_I_32,f,weisend
31,32,1396-01-20,pe__heinrich_zuzzerman_StB_I_32,m,weisend/other
32,32,1396-01-20,pe__friedrich_unger_StB_I_32,m,witness
33,32,1396-01-20,pe__ulrich_weingartmann_StB_I_32,m,witness
34,32,1396-01-20,pe__anna_von_waydhofen_StB_I_32,f,gewiesen
35,32,1396-01-20,pe__ulrich_von_waidhofen_StB_I_32,m,gewiesen/other
36,39,1396-02-26,pe__johann_seibot_StB_I_39,m,weisend
37,39,1396-02-26,pe__ulrich_zeller_StB_I_39,m,witness
38,39,1396-02-26,pe__niklas_mechtler_StB_I_39,m,witness
39,39,1396-02-26,pe__stephan_seybot_StB_I_39,m,gewiesen
40,39,1396-02-26,pe__anna_leinboterin_StB_I_39,f,gewiesen
41,39,1396-02-26,pe__johann_leinboter_StB_I_39,m,gewiesen/other
42,40,1396-03-02,pe__ulrich_schermiczer0_StB_I_40,m,weisend
43,40,1396-03-02,pe__peter_weyzchopf0_StB_I_40,m,witness
44,40,1396-03-02,pe__johann_hannsgraf_StB_I_40,m,witness
45,40,1396-03-02,pe__johann_schermiczer0_StB_I_40,m,gewiesen
46,44,1396-03-14,pe__katharina_von_weidhofen_StB_I_44,f,weisend
47,44,1396-03-14,pe__andreas_von_weidhofen_StB_I_44,m,weisend/other
48,44,1396-03-14,pe__ulrich_muelich_StB_I_44,m,witness
49,44,1396-03-14,pe__hermann_jewchen_StB_I_44,m,witness
50,44,1396-03-14,pe__heinrich_chrewzzenczeler_StB_I_44,m,gewiesen
51,54,1396-04-29,pe__hermann_von_eslarn_StB_I_54,m,weisend
52,54,1396-04-29,pe__johann_zink_StB_I_54,m,weisend
53,54,1396-04-29,pe__stephan_leyttner_StB_I_54,m,witness
54,54,1396-04-29,pe__niklas_schermiczer_StB_I_54,m,witness
55,54,1396-04-29,pe__niklas_weyspacher_StB_I_54,m,witness
56,54,1396-04-29,pe__gertrud_hermannin_von_eslarn_StB_I_54,f,gewiesen
57,54,1396-04-29,pe__katharina_zinkin_StB_I_54,f,gewiesen
58,54,1396-04-29,pe__stephan_frawnschuchel_StB_I_54,m,gewiesen
59,59,1396-06-06,pe__margarethe_fleischakcherin_StB_I_59,f,weisend
60,59,1396-06-06,pe__heinrich_fleischakcher_StB_I_59,m,weisend/other
61,59,1396-06-06,pe__gumpendorfer_StB_I_59,m,weisend/other
62,59,1396-06-06,pe__meinhard_olmunczer_StB_I_59,m,witness
63,59,1396-06-06,pe__rudolf_lupan_StB_I_59,m,witness
64,59,1396-06-06,pe__klara_von_ottental_StB_I_59,f,gewiesen
65,59,1396-06-06,pe__georg_von_ottental_StB_I_59,m,gewiesen/other
66,63,1396-06-27,pe__gold_an_dem_ort_StB_I_63,f,weisend
67,63,1396-06-27,pe__ulrich_an_dem_ort_StB_I_63,m,weisend/other
68,63,1396-06-27,pe__konrad_gerstler_StB_I_63,m,witness
69,63,1396-06-27,pe__ulrich_von_chaschaw_StB_I_63,m,witness
70,63,1396-06-27,pe__johann_StB_I_63,m,gewiesen
71,63,1396-06-27,pe__gundolt_StB_I_63,m,gewiesen
72,72,1396-08-08,pe__michael_affer_StB_I_72,m,weisend
73,72,1396-08-08,pe__dietrich_schuster_StB_I_72,m,witness
74,72,1396-08-08,pe__christian_grewter_StB_I_72,m,witness
