ID;nr;date;persTag;sex;fn_role;dead;minor;jungfrau;title;prof;staff;off;place;org-pers;sameAs;Kommentar;;;;;;;;;;
1;7;1395-12-04;pe__stephan_frauendorfer_StB_I_7;m;weisend;;;;;;;;;;;;;;Gesamtnennungen;;davon Männer;;Anteil unter Männern;davon Frauen;;Anteil unter Frauen
2;7;1395-12-04;pe__pilgrim_snaeczel_StB_I_7;m;witness;;;;erbere mannen;;;;;;;;;weisend;800;16,86%;460;57,50%;12,37%;338;42,25%;33,07%
3;7;1395-12-04;pe__erasmus_mallczer_StB_I_7;m;witness;;;;erbere mannen;;;;;;;;;weisend/rep;65;1,37%;32;49,23%;0,86%;33;50,77%;3,23%
4;7;1395-12-04;pe__kaspar_frauendorffer_StB_I_7;m;gewiesen;;;;;;;;;;;;;weisend/other;365;7,69%;356;97,53%;9,57%;9;2,47%;0,88%
5;7;1395-12-04;pe__wolfgang_frauendorffer_StB_I_7;m;gewiesen;;;;;;;;;;;;;gewiesen;1329;28,01%;730;54,93%;19,62%;598;45,00%;58,51%
6;7;1395-12-04;pe__esther_frauendorfferin_StB_I_7;f;gewiesen;;;;;;;;;;;;;gewiesen/other;538;11,34%;496;92,19%;13,33%;42;7,81%;4,11%
7;7;1395-12-04;pe__martha_frauendorfferin_StB_I_7;f;gewiesen;;;;;;;;;;;;;witness;1641;34,58%;1640;99,94%;44,09%;1;0,06%;0,10%
8;7;1395-12-04;pe__jakob_chetner_StB_I_7;m;gewiesen;dead;;;;;;;;;;;;witness/other;5;0,11%;5;100,00%;0,13%;0;0,00%;0,00%
9;7;1395-12-04;pe__konrad_chetner_StB_I_7;m;gewiesen/other;dead;;;;;;;;;;;;other;2;0,04%;1;50,00%;0,03%;1;50,00%;0,10%
10;23;1396-01-15;pe__niklas_unger_StB_I_23;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
11;23;1396-01-15;pe__johann_handschuster_StB_I_23;m;witness;;;;erbere lewte;handschuster;;;von Graz;;;;;;;;;;;;;
12;23;1396-01-15;pe__michael_ungerl_StB_I_23;m;gewiesen;;;;;;;;;;;;;Total;4745;;3720;78,40%;;1022;21,54%;
13;23;1396-01-15;pe__elisabeth_ungerlin_StB_I_23;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
14;23;1396-01-15;pe__katharina_ungerlin_StB_I_23;f;gewiesen;;;;;;;;;;;;;Distinct Persons;4145;;3170;76,48%;;972;23,45%;
15;23;1396-01-15;pe__johann_ungerl_StB_I_23;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
16;23;1396-01-15;pe__anna_ungerlin_StB_I_23;f;gewiesen;;;;;;;;;;;;;;;;;;;;;
17;23;1396-01-15;pe__margarethe_hantschusterin_StB_I_23;f;gewiesen;dead;;;junkchfraw;handschuster;;;;;;;;;;;;;;;;
18;23;1396-01-15;pe__konrad_handschuster_StB_I_23;m;gewiesen/other;;;;;;;;von Sand Pölten;;;;;;;;;;;;;
19;24;1396-01-18;pe__ulrich_graefenauer_StB_I_24;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
20;24;1396-01-18;pe__paul_von_chruegsperg_StB_I_24;m;weisend/rep;;;;;;;;;;;;;;;;;;;;;
21;24;1396-01-18;pe__anna_von_oed_StB_I_24;f;weisend/rep;;;;;;;;;;;;;;;;;;;;;
22;24;1396-01-18;pe__welndelmut_grefenawerin_StB_I_24;f;weisend/rep;;;;;;;;;;;;;;;;;;;;;
23;24;1396-01-18;pe__ortolf_graefenauer_StB_I_24;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
24;24;1396-01-18;pe__niklas_geisliczer_StB_I_24;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
25;24;1396-01-18;pe__elisabeth_grefenawerin_StB_I_24;f;gewiesen;;;;fraw;;;;;;;;;;;;;;;;;
26;24;1396-01-18;pe__heinrich_von_chruegsperg_StB_I_24;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
27;24;1396-01-18;pe__andreas_von_od_StB_I_24;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
28;24;1396-01-18;pe__wolfhard_graefenauer_StB_I_24;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
29;24;1396-01-18;pe__andreas_graefenauer_StB_I_24;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
30;32;1396-01-20;pe__kunigunde_zuzzermanin_StB_I_32;f;weisend;;;;fraw;;;;;;;;;;;;;;;;;
31;32;1396-01-20;pe__heinrich_zuzzerman_StB_I_32;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
32;32;1396-01-20;pe__friedrich_unger_StB_I_32;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
33;32;1396-01-20;pe__ulrich_weingartmann_StB_I_32;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
34;32;1396-01-20;pe__anna_von_waydhofen_StB_I_32;f;gewiesen;dead;;;fraw;;;;;;;;;;;;;;;;;
35;32;1396-01-20;pe__ulrich_von_waidhofen_StB_I_32;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
36;39;1396-02-26;pe__johann_seibot_StB_I_39;m;weisend;;;;;vischer;;;;;;;;;;;;;;;;
37;39;1396-02-26;pe__ulrich_zeller_StB_I_39;m;witness;;;;erbere lewte;vischer;;;;;;;;;;;;;;;;
38;39;1396-02-26;pe__niklas_mechtler_StB_I_39;m;witness;;;;erbere lewte;vischer;;;;;;;;;;;;;;;;
39;39;1396-02-26;pe__stephan_seybot_StB_I_39;m;gewiesen;;minor;;;;;;;;;;;;;;;;;;;
40;39;1396-02-26;pe__anna_leinboterin_StB_I_39;f;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
41;39;1396-02-26;pe__johann_leinboter_StB_I_39;m;gewiesen/other;dead;;;;;;;;;;;;;;;;;;;;
42;40;1396-03-02;pe__ulrich_schermiczer0_StB_I_40;m;weisend;;;;;;;;;;;;;;;;;;;;;
43;40;1396-03-02;pe__peter_weyzchopf0_StB_I_40;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
44;40;1396-03-02;pe__johann_hannsgraf_StB_I_40;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
45;40;1396-03-02;pe__johann_schermiczer0_StB_I_40;m;gewiesen;dead;;;;;;;;;;;;;;;;;;;;
46;44;1396-03-14;pe__katharina_von_weidhofen_StB_I_44;f;weisend;;;;;;;;;;;;;;;;;;;;;
47;44;1396-03-14;pe__andreas_von_weidhofen_StB_I_44;m;weisend/other;;;;;;;;;;;;;;;;;;;;;
48;44;1396-03-14;pe__ulrich_muelich_StB_I_44;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
49;44;1396-03-14;pe__hermann_jewchen_StB_I_44;m;witness;;;;erbere lewte;;;;;;;;;;;;;;;;;
50;44;1396-03-14;pe__heinrich_chrewzzenczeler_StB_I_44;m;gewiesen;;;;;;;;;;;;;;;;;;;;;
51;54;1396-04-29;pe__hermann_von_eslarn_StB_I_54;m;weisend;;;;;;;;;;;rep;;;;;;;;;;
52;54;1396-04-29;pe__johann_zink_StB_I_54;m;weisend;;;;;;;;;;;;;;;;;;;;;
